"Month","Analytica Leading Economic Indicator"
"2001-03",101.4
"2001-04",100.5
"2001-05",99.8
"2001-06",99.4
"2001-07",99.1
"2001-08",98.7
"2001-09",98.1
"2001-10",97.5
"2001-11",97.2
"2001-12",97.4
"2002-01",97.8
"2002-02",98.1
"2002-03",98.2
"2002-04",98.2
"2002-05",98.1
"2002-06",97.9
"2002-07",97.8
"2002-08",97.6
"2002-09",97.4
"2002-10",97.0
"2002-11",96.7
"2002-12",96.4
"2003-01",96.2
"2003-02",96.1
"2003-03",96.2
"2003-04",96.3
"2003-05",96.4
"2003-06",96.6
"2003-07",96.8
"2003-08",96.9
"2003-09",97.2
"2003-10",97.5
"2003-11",97.9
"2003-12",98.3
"2004-01",98.6
"2004-02",98.9
"2004-03",99.2
"2004-04",99.2
"2004-05",99.2
"2004-06",99.3
"2004-07",99.4
"2004-08",99.7
"2004-09",100.0
"2004-10",100.4
"2004-11",100.9
"2004-12",101.4
"2005-01",101.9
"2005-02",102.2
"2005-03",102.4
"2005-04",102.5
"2005-05",102.6
"2005-06",102.7
"2005-07",102.7
"2005-08",102.5
"2005-09",102.3
"2005-10",102.1
"2005-11",102.0
"2005-12",102.0
"2006-01",102.1
"2006-02",102.3
"2006-03",102.4
"2006-04",102.4
"2006-05",102.5
"2006-06",102.4
"2006-07",102.5
"2006-08",102.7
"2006-09",103.2
"2006-10",103.7
"2006-11",104.2
"2006-12",104.8
"2007-01",105.4
"2007-02",106.0
"2007-03",106.6
"2007-04",107.1
"2007-05",107.4
"2007-06",107.5
"2007-07",107.3
"2007-08",107.1
"2007-09",106.8
"2007-10",106.7
"2007-11",106.6
"2007-12",106.3
"2008-01",105.9
"2008-02",105.3
"2008-03",104.7
"2008-04",104.0
"2008-05",103.0
"2008-06",102.0
"2008-07",101.2
"2008-08",100.5
"2008-09",99.9
"2008-10",99.3
"2008-11",98.4
"2008-12",97.6
"2009-01",96.9
"2009-02",96.3
"2009-03",95.8
"2009-04",95.5
"2009-05",95.2
"2009-06",94.9
"2009-07",94.7
"2009-08",94.3
"2009-09",94.1
"2009-10",94.1
"2009-11",94.3
"2009-12",94.7
"2010-01",95.1
"2010-02",95.4
"2010-03",95.7
"2010-04",95.9
"2010-05",96.2
"2010-06",96.5
"2010-07",96.7
"2010-08",96.9
"2010-09",97.0
"2010-10",97.1
"2010-11",97.4
"2010-12",97.7
"2011-01",98.1
"2011-02",98.3
"2011-03",98.4
"2011-04",98.6
"2011-05",98.8
"2011-06",99.1
"2011-07",99.3
"2011-08",99.5
"2011-09",99.7
"2011-10",99.9
"2011-11",100.3
"2011-12",100.7
"2012-01",101.0
"2012-02",101.3
"2012-03",101.4
"2012-04",101.5
"2012-05",101.7
"2012-06",101.9
"2012-07",102.0
"2012-08",101.9
"2012-09",101.5
"2012-10",101.1
"2012-11",100.6
"2012-12",100.3
"2013-01",100.2
"2013-02",100.4
"2013-03",100.6
"2013-04",100.8
"2013-05",100.8
"2013-06",100.8
"2013-07",100.9
"2013-08",100.9
"2013-09",101.0
"2013-10",100.9
"2013-11",100.6
"2013-12",100.3
"2014-01",100.1
"2014-02",100.0
"2014-03",100.0
"2014-04",100.0
"2014-05",99.9
"2014-06",99.7
"2014-07",99.3
"2014-08",99.1
"2014-09",98.9
"2014-10",98.9
"2014-11",99.0
"2014-12",99.2
"2015-01",99.4
"2015-02",99.6
"2015-03",99.6
"2015-04",99.6
"2015-05",99.6
"2015-06",99.9
"2015-07",100.2
"2015-08",100.5
"2015-09",100.6
"2015-10",100.7
"2015-11",100.9
"2015-12",101.1
"2016-01",101.2
"2016-02",101.3
"2016-03",101.3
"2016-04",101.2
"2016-05",101.2
"2016-06",101.2
"2016-07",101.1
"2016-08",101.2
"2016-09",101.1
"2016-10",101.0
"2016-11",100.7
"2016-12",100.3
"2017-01",100.1
"2017-02",100.1
"2017-03",100.2
"2017-04",100.1
"2017-05",99.8
"2017-06",99.4
"2017-07",99.3
"2017-08",99.6

